127.0.0.1, 2011-11-10 15:50:09, GET, /, HTTP/1.1, 303, 0.052229
127.0.0.1, 2011-11-10 15:50:11, GET, /welcome/default/index, HTTP/1.1, 200, 2.495673
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.002459
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/js/anytime.js, HTTP/1.1, 200, 0.012351
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/css/anytime.css, HTTP/1.1, 200, 0.020817
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.023721
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.030306
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.045701
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.011455
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.004446
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.005533
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.002658
127.0.0.1, 2011-11-10 15:50:12, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.002270
127.0.0.1, 2011-11-10 15:50:13, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.003485
127.0.0.1, 2011-11-10 15:50:13, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.002580
127.0.0.1, 2011-11-10 15:51:07, GET, /admin/default/index, HTTP/1.1, 200, 0.399608
127.0.0.1, 2011-11-10 15:51:07, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.008123
127.0.0.1, 2011-11-10 15:51:07, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.021506
127.0.0.1, 2011-11-10 15:51:07, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.007777
127.0.0.1, 2011-11-10 15:51:07, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.015569
127.0.0.1, 2011-11-10 15:51:07, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.022582
127.0.0.1, 2011-11-10 15:51:07, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002439
127.0.0.1, 2011-11-10 15:51:07, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002472
